,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,5,2,@nameisnani nuvv chala bagunnav
1,3,0,0,5,2,"Handsome hunk, vacchu neevu naa naeta ayyaava"
2,3,0,0,5,2,melu..... ilanti rachanalu chala avasaram ....
3,3,0,0,5,2,Vera level BGM .. trailer anekaṁ kikku icchindi
4,3,0,0,5,2,meeru emi chestunnaru?!!!! aa talli !!!!
5,6,0,0,5,2,#kaappaan is gonna be a massive hit 
6,3,0,0,5,2,250k likes to go.....evaru waiting 
7,3,0,0,5,2,Supar annan trailar chaala bagundii am waiting annnnnnnaaaaaaaaa
8,3,0,0,5,2,Maranam we love you Surya anna
9,3,0,0,5,2,absolute hardwork lot of luv 4 yuva sinham jayam ravi
10,3,0,0,5,2,Sunny Leone fans hit like
11,3,0,0,5,2,Anna fans unte like cheyandi
12,3,0,0,5,2,ramanathapuram jilla parvajanika stree surakshanaku sambandhinchina siniman thisivetha vallaku warthulu.
13,3,0,0,5,2,love super comedy grand ga love
14,3,0,0,5,2,nanam veldham hyv
15,3,0,0,5,2,Rajini  aracial  itara stayi
16,3,0,0,5,2,entra niku paniki raani vaadu Surya like joker.
17,3,0,0,5,2,adbhutam funa undabotondi
18,3,0,0,5,2,i am waiting vijay bro super ni abba arey
19,3,0,0,5,2,mana Vikram eppudu mass hero ne
20,3,0,0,5,2,Thala inka enni rojulu nuv ila full while lo act chestav 
21,3,0,0,5,2,postman webseries intha cinemanu padhe padhe kanipistundhi
22,3,0,0,5,2,500K need to 15 m views
23,3,0,0,5,2,nuv ela endhuku unnav by the STR Anna veriyan from kerala.
24,3,0,0,5,2,wow trailer chala bagundhi thalapathy fans tharapuna shubhakankshalu to surya sir.
25,3,0,0,5,2,Rajini screen lo adbuthamaina jore ah unnaru super
26,3,0,0,5,2,Rey Tamil Nadu lo rape crime increase avutane unnai evaraina prashninchina subhakankshalu cheppi mari vellandi
27,3,0,0,5,2,oka vela nuv truth ni accept cheyaleka pothe na cmnt ki fake sympathy tho reply ivvadhu emi ayitadi chudham....
28,3,0,0,5,2,okokka frame superga undhi shubhakankshalu Shankar sir
29,3,0,0,5,2,Waiting for Judgement day Dasara Trailer mass ga undhi Naniiii.......
30,3,0,0,5,2,lost former screen preview boys chala bagundi
31,3,0,0,5,2,Dasar trailer bagundhi okavela chudakapothe oka likke cheyandi
32,3,0,0,5,2,anthaku minchindhi aa super super super assalu chance ledhu anthaku minchidhi laga undhi
33,3,0,0,5,2,Nni Anna ni natana adbutham ga undhi Bigscreen lo chudadaniki waiting
34,3,0,0,5,2,okavela Surya Telugu dubbing cheste aa movie appudu super hit avutundhi
35,3,3,0,5,2,comment lo endhuku ra endhuku ra pichiga maatladutaru...pichina kodukulu
36,3,0,0,5,2,10 Million views...457 k likes ...Anukuntunaa SURIYA....singham
37,3,0,0,5,2,peta adhbutham........watching the trailer continuously...RAJINISM adhbutham.Pongal vedukalu sandharbhanga purthi aanandha karamaina cinema
38,3,0,0,5,2,"veera wanyar sanghalu dooramga drivikrinchina dhananjay vijayanto meruguparachinavi, adi konthamandi sanghatakulaku kuda anukulamaina sangathi. velugulu cherukovadam valana sabhyulaku santhosham pattinchadam leda sanghamlo spandinchina abhivruddiki valla panicheyadam valana idi sabhyulaku manchi avakasam. andariki abhinandana!"
39,3,2,0,5,2,"Karthi fans like kaidhi waaiting,but Bigil shaktivantanga waiting.Talapathy dhairyavanthudu"
40,3,2,0,5,2,Verrithanam chala manchi trailer....theatre lo motha mootha mothapogidhi:)
41,3,0,0,5,2,adhbutham bro anthaku minchi bro adhbuthamaina trailer
42,3,0,0,5,2,"manchi jatilo puttina varu enni tamil vyaktulu unnaro kuda, enni jatula strilakunda manam pogaledu adi tamilavalla sampradaya... kill jati ane padam vadukunna strilanu mosanga chudatam ippudu vundi..."
43,3,2,0,5,2,emi style u....emi screen presence u.. maatladakunda Arjun Reddy Remake ithane chese laga unnadu ...
44,3,2,0,5,2,Starting Looks like king liar Malayalam movie
45,3,2,0,5,2,ikkada kuda 6 pagelu levu ani patinchesadu shiva
46,3,0,0,5,2,pakka mass tan tana tannnn
47,3,0,0,5,2,oka bagundi comedy chitram choosukovaalanukunnamuzammil.
48,3,0,0,5,2,ippudu movie ki madhathu cheyadam summane undhi sundharamaina samayam kaadhu.
49,3,0,0,5,2,idhi nijamaina adhikamaina staayilo undhi....Indian cinemaaa adhbuthamaina staayilo undhi
50,3,0,0,5,2,Boss...adhbuthamboss.Bossuu.....ummmmmma love you
51,3,0,0,5,2,ippudu vachina trailer super undhi
52,3,0,0,5,2,Who see Suriya at 0.02 to 0.05
53,3,0,0,5,2,Petta and Viswasam rendu movie lu success avuthunnai kabatti abhinandhanalu
54,3,0,0,5,2,Okavela music Thaman unte adhbuthanga untundhi
55,3,2,3,5,2,vfx sucks emi panikirani vadiki romance raaadhu
56,3,0,0,5,2,K.S Ravi Kumar e okka movie tho vere level ki velladu
57,3,0,0,5,2,geetha cheppina patiban nammalekapotunnaa.
58,3,3,1,5,2,dai ranjith kukka  idi tanda maa nayakudu mee kulam kosam nayakudini chedagottalani chustunnadu.
59,3,0,0,5,2,chala rojulu kalalu kantunna phalitam now it comes tru...
60,3,0,0,5,2,Heyyy simbuuuu.... surprise... ummmmmaaaa love u da.....
61,3,0,0,5,2,Surya +yuvan  fans like here
62,3,0,0,5,2,oka justification unnaa vfk justification leda
63,3,0,0,5,2,198K likes for 400K likes next stop 500K likes before 24hrs
64,3,0,0,5,2,At last one colour full movie
65,3,0,0,5,2,maro sthayi super hero sinimala ravi komaliki abhinandana
66,3,0,0,5,2,Suriya in 4 getups adhbuthamaina weight tu..
67,3,0,0,5,2,74 K comments 
68,3,0,0,5,2,manchi sinimala vundi.. butt deyyam katha... screen play correct ga untene cinema nadusthundi.
69,3,0,0,5,2,kulam choodalsinde..
70,3,0,0,5,2,"meeru mammalni nammadam ledhu, mee ammayi mammalni vethukuthondi.. mem vaste mosapom.."
71,3,0,0,5,2,"96, molly, naku alanti anubhutini kaliginchadu"
72,3,0,0,5,2,e cinema block buster hit.
73,3,0,0,5,2,simple dialogues mass undali ante adhi Thailava matram cheyagalaru
74,3,2,0,5,2,#STR  cheppe dialogue (vachchina rajuku vanda dostu) mouna aa antu #senathipathi sthananni akraminchabotondi.
75,3,0,0,5,2,oruvilla trailer short film ou abdita idukkum pudusu putusa short film e chitranni tekap chesthondi.
76,3,0,0,5,2,atithiki puttinavadu manchiga alochistadu.. manava deyyanni choosi asuya padey vaaru
77,3,1,3,5,2,anta ok.. ponne aranjate trailer nu bhatt thappinchi undochu.
78,3,0,0,5,2,"ayyo, thala nuvvu chala goppa pani chesavu thala"
79,3,0,0,5,2,Shivakartikeyn Fans where are you hit like here
80,3,0,0,5,2,cinema vidudala aalasyamaina farvaledu... kani date cheppandi... tala vanukutunnattu vundi.
81,9,0,2,5,2,Unlike basters    all
82,3,0,0,5,2,tala mass look>>>>>>=====::::{::{:{:{:{:{:{::inni{bl:>?? ? {?? {:{}?>{?>>{>>>?:{>>{??? {{entha bagunnadu}) talaian choodagaane.......
83,3,0,0,5,2,villupuram jilla pattali tarafun cinema vijayayam sadhinchinanduku abhinandana teliparu.
84,3,0,0,5,2,yalam cinema chestunnadani anipistundi  let see abhinandhanalu
85,3,0,0,5,2,I am vj fan. I like Surya Anna very much
87,3,0,0,5,2,e cinema eppudu vastundi...
88,3,0,0,5,2,Adhbuthanga undhi trailer eyyyyy superr
89,3,0,0,5,2,jeeva anna mass cinema block buster avutundhi
90,3,0,0,5,2,"teaser low a mukka siniman purti chesaru, inka balance enti?"
91,3,0,0,5,2,I love u Bro I Am Bangladesh
92,3,4,1,5,2,idanta trailer nena? thu thu thu
93,6,0,0,5,2,"taraganam, surya anna abhimanulaku nachchina hero"
94,3,0,0,5,2,vetrimaran dhanush combo polladhavan aadukalam vada chennai asuran loading.........
95,3,0,0,5,2,vayasu pybadina mee style eppudu dull ga untundi..
96,3,0,0,5,2,tala abhimanulu kuda e deepavalini celebrate chesukuntaru.
97,3,0,0,5,2,abbabbaa.. intha alukku mike akkada dalapathi fons vajralu ..... FDFSkku ready 1:55 ma fav
98,3,0,0,5,2,aayudham rasukunna tarvata o adbhutamaina cinema untundi ya iam waiting
99,3,0,0,5,2,Any thala fan's here means like cheyandi pakka because Iam thala fan
100,3,0,0,5,2,what a trailer. surya anna different level
101,3,0,0,5,2,"idi kontamandiki kalalo kuda jaragadu, kontamandiki kadupu chikaku untundi."
102,3,0,0,5,2,e cinema vijayayam sadhinchinanduku veera sengunta mudaliar tarafun abhinandana !!!
103,3,0,0,5,2,mokka trailer thala unte super ga untundhi
104,3,0,0,5,2,laletta surya.... annabig fan from kerala
105,3,0,0,5,2,appudu tammudu cheppinattu... mala day.
106,3,2,0,5,2,thappu chesi teliste devudaina vadaladu:)-)
107,3,0,0,5,2,eppudu cinema vachchina maa voori nunchi 25-30 mandi thappakunda theaters veldi ilanti sinimalanu commercial ga success chestaru. panung vanti theaters.
108,3,0,0,5,2,vecchi undandi mariyu e kambok nu ishtapadandi
109,3,0,0,5,2,maro levl tala tala fans ikkada hit kottaru
110,3,0,0,5,2,Song ki elanti yuvan tune ichadu oka emotional song
111,3,0,0,5,2,jayam ravi.. schoollo..cheppukovadaniki amy ledhu.
112,3,0,0,5,2,"261,636 views\r ! in 10 minutes...."
113,3,2,0,5,2,Entira pitthalaada undhi views 51k but likes 99k na
114,3,0,3,5,2,oke rakamaina premanu cheppi manushulanu champakunda oke sinimalo anni vayasula premanu cheppadam goppa vishayam.
115,3,0,0,5,2,Not gd... Someone else better to act
116,3,0,3,5,2,cinema vere levello untundani cheppe vallaku nachutundi!!!
117,3,0,3,5,2,e cinema success full ga janala chetulloki velthundi
118,3,0,0,5,2,entha korike feeling vachchina.. cause one name tala..
119,3,0,1,5,2,"nanna, vintage rajini is back.... super cool..."
120,3,0,0,5,2,Laalunnikku side rol angottu cash koduttu rol vaangichataano...kaastham....
121,3,0,3,5,2,villupuram jilla pennavalam gramanici chendina vanniyarla tarafun e cinema vijayayam patla abhinandana teliparu.
122,3,0,0,5,2,vaav vaav vaav party time adhbutham
123,3,0,3,5,2,For A r rahman Hit like
124,3,0,0,5,2,"e cinema vijayam sadhinchina darshakudu mohan thambi dhairyasahasalaku, hrudayapurvaka abhinandanalu. premato gnanasekhar nadar"
125,3,0,3,5,2,As a neutral fan.. Petta trailer rocks
126,3,0,3,5,2,ambedkar cheppagane naa sariram kalipoyindi.
127,3,0,6,5,2,Fun jolly ride.. Superu superu superu
128,3,0,3,5,2,"Are Teejay, ikkada neeku emi pani antae? Idi rakthapootha bhoomi/neela ayithenae"
129,6,0,3,5,2,kulam peru everycy cheppoddu.. ippatikaina kula rahita prapanchanni prarambhinchadaniki prayathniddam *kulam anedi munupati taraniki sankraminchina vishayanga undanivvandi.. e cinema vijayayam sadhinchinanduku abhinandana..
130,3,0,3,5,2,Song my fev song. My like
131,3,0,3,5,2,"*Daani verri level verithanam undi, adi poorthi ga adbhutam"
132,3,0,3,5,2,"Thala nu choodalanukune inni mundu okka nel vekunda kavalI, andhuvalli ee trailer repeat mode lo chusthe chalu"
133,3,0,6,5,2,chivaraku maa inti simham vastondi.
134,3,0,3,5,2,avathali siniman sinimaga chudandi ani cheppina vaaru idi kuda chudandi pa.
